Content ID,Reaction Type,Datetime,Category_y,Score,,,Top 5 Category   ,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,Studying,0,,,animals,71242
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,17-06-2021 12:22,Studying,10,,,healthy eating,69067
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,18-04-2021 05:13,Studying,15,,,technology,68521
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,06-01-2021 19:13,Studying,0,,,science,66549
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,23-08-2020 12:25,Studying,30,,,culture,64952
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,07-12-2020 06:27,Studying,35,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,11-04-2021 17:35,Studying,70,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,27-01-2021 08:32,Studying,5,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,01-04-2021 22:54,Studying,35,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,04-08-2020 05:05,Studying,65,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,07-11-2020 08:36,Studying,20,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,02-11-2020 06:28,Studying,15,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,01-11-2020 01:16,Studying,30,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,07-10-2020 18:39,Studying,5,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,03-09-2020 18:51,Studying,15,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,24-02-2021 05:09,Studying,75,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,23-09-2020 06:24,Studying,35,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,24-02-2021 11:37,Studying,20,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,22-05-2021 19:44,Studying,30,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,31-01-2021 16:03,Studying,45,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,20-11-2020 17:26,Studying,35,,,,
